Country/Region/Group,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
United Wa State (Myanmar)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,3
Unknown rebel group*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,0
Unknown recipient(s),,,,,,,,,,10,10,18,38,67,76,76,58,58,58,58,18,10,10,5,5,,,,,,30,85,85,86,86,86,86,86,86,41,,11,11,18,4,8,3,,4,,,2,,0,0,,,,12,,8,6,,29,30,13,32,17,31,48,27,1644
Uruguay,68,3,39,3,1,2,22,12,9,,17,0,100,0,2,8,6,,10,12,10,16,24,6,5,3,53,2,8,9,21,100,15,17,,12,,,16,41,41,63,26,18,11,12,4,19,27,8,4,,13,,,20,8,3,78,29,20,,,3,9,8,,,10,,25,1130
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,,,,,,30,,,,17,100,56,8,116,76,46,465
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Venezuela,63,,25,195,135,64,406,275,120,9,64,32,32,34,2,,69,216,20,8,15,130,164,394,251,228,176,220,59,14,368,917,701,240,229,515,92,77,101,120,190,320,73,38,1,5,35,37,8,85,106,103,50,15,9,21,377,775,739,358,208,596,687,993,181,125,95,,14,,79,13102
Viet Cong (South Vietnam)*,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Viet Minh (France)*,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Viet Nam,,,,,10,19,9,54,26,59,103,95,47,107,248,639,1126,1089,1168,893,1199,1179,1312,1283,851,485,42,42,227,1249,1017,1077,529,913,554,28,78,50,65,128,116,,,,,281,212,110,220,163,7,95,58,22,294,221,42,8,183,60,150,1010,780,362,1212,855,909,783,604,160,32,26944
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,25,,7,,,39,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,77
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,113,,,4,171,,,1,51,158,85,592,58,248,311,38,66,40,5,258,45,38,23,6,33,7,6,9,,,2443
Yemen Arab Republic,,,,,,,,,,,,,,1,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
Yugoslavia,,182,490,525,534,334,352,229,112,285,259,175,397,624,463,549,545,688,678,582,548,477,321,167,160,564,526,594,406,763,495,440,631,577,283,355,344,329,713,331,311,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17476
Zambia,,,,,,,,,,,,,,,7,16,17,,,7,4,165,29,19,9,48,109,40,42,4,136,252,42,,18,,,,,,,,,,,,6,,,,43,,2,,,0,28,4,2,,,1,61,,,14,44,46,,43,1,1256
ZAPU (Zimbabwe)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Zimbabwe,1,11,2,8,36,27,8,,61,,15,,16,20,,,,16,,,,2,11,0,2,31,16,4,13,,,15,80,34,26,28,212,29,2,,2,42,60,0,,,,,1,25,3,10,,16,13,25,25,,,,,,,,,,,,,,,946
Total,8092,11512,16532,23497,20051,20488,24611,24163,25601,21388,17685,16338,17509,20282,26456,25138,24985,25469,25926,28491,25445,32511,34214,35851,36750,37167,35332,39814,42538,37964,41833,45384,45685,44041,41691,38247,39171,39482,36717,35355,30470,28300,24202,25854,22964,22916,23858,28961,27821,25188,19318,18714,17840,19046,21358,21500,24790,26629,24121,24312,25773,30023,27976,27240,27227,28646,31480,31878,27327,27502,23677,1976320
